country_name,total_medals,total_gold_medals,total_silver_medals,total_bronze_medals,total_summer_medals,total_winter_medals,total_team_medals,total_doubles_medals,total_individual_medals,total_mens_medals,total_womens_medals,total_mixed_medals,gdp,population,avg_summer_medals_per_year,avg_winter_medals_per_year,summer_individual_medals,summer_doubles_medals,summer_team_medals,winter_individual_medals,winter_doubles_medals,winter_team_medals,avg_summer_individual_medals_per_year,avg_summer_doubles_medals_per_year,avg_summer_team_medals_per_year,avg_winter_individual_medals_per_year,avg_winter_doubles_medals_per_year,avg_winter_team_medals_per_year
Afghanistan,2,0,0,2,2,0,0,0,2,0,0,0,17233051620.0,41454761.0,0.06666666666666667,0.0,2,0,0,0,0,0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
Algeria,17,5,4,8,17,0,0,0,17,0,0,0,247626000000.0,46164219.0,0.5666666666666667,0.0,17,0,0,0,0,0,0.5666666666666667,0.0,0.0,0.0,0.0,0.0
Argentina,77,21,26,30,77,0,1,2,74,0,0,0,646075000000.0,45538401.0,2.566666666666667,0.0,74,2,1,0,0,0,2.466666666666667,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0
Armenia,18,2,8,8,18,0,0,0,18,0,0,0,24085749592.0,2943393.0,0.6,0.0,18,0,0,0,0,0,0.6,0.0,0.0,0.0,0.0,0.0
Australasia,12,3,4,5,12,0,0,0,12,0,0,0,,,0.4,0.0,12,0,0,0,0,0,0.4,0.0,0.0,0.0,0.0,0.0
Australia,565,170,180,215,546,19,19,5,541,0,0,0,1728060000000.0,26451124.0,18.2,0.8260869565217391,522,5,19,19,0,0,17.4,0.16666666666666666,0.6333333333333333,0.8260869565217391,0.0,0.0
Austria,342,90,121,131,211,131,20,11,311,0,0,0,511685000000.0,9130429.0,7.033333333333333,5.695652173913044,200,6,5,111,5,15,6.666666666666667,0.2,0.16666666666666666,4.826086956521739,0.21739130434782608,0.6521739130434783
Azerbaijan,50,7,14,29,50,0,0,0,50,0,0,0,72356176471.0,10318207.0,1.6666666666666667,0.0,50,0,0,0,0,0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0
Bahamas,16,8,2,6,16,0,0,0,16,0,0,0,14338500000.0,399440.0,0.5333333333333333,0.0,16,0,0,0,0,0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0
Bahrain,4,2,2,0,4,0,0,0,4,0,0,0,46079867021.0,1569666.0,0.13333333333333333,0.0,4,0,0,0,0,0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0
Barbados,1,0,0,1,1,0,0,0,1,0,0,0,6720733200.0,282336.0,0.03333333333333333,0.0,1,0,0,0,0,0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
Belarus,105,21,37,47,85,20,0,1,104,0,0,0,71857382746.0,9115680.0,2.8333333333333335,0.8695652173913043,84,1,0,20,0,0,2.8,0.03333333333333333,0.0,0.8695652173913043,0.0,0.0
